2018/02/05 12:19:52 db_populator.go:106: Error 1146: Table 'academy.user' doesn't exist
2018/02/05 12:19:52 db_populator.go:99: Panic Caught in getUserAgent : runtime error: invalid memory address or nil pointer dereference 
2018/02/05 12:19:52 db_populator.go:47: Panic Caught in CreateNewUser : Panic Caught in getUserAgent : runtime error: invalid memory address or nil pointer dereference 
 
2018/02/05 12:24:30 db_populator.go:106: Error 1146: Table 'academy.user' doesn't exist
2018/02/05 12:24:30 db_populator.go:99: Panic Caught in getUserAgent : runtime error: invalid memory address or nil pointer dereference 
2018/02/05 12:24:30 db_populator.go:47: Panic Caught in CreateNewUser : Panic Caught in getUserAgent : runtime error: invalid memory address or nil pointer dereference 
 
2018/02/05 12:24:36 db_populator.go:106: Error 1146: Table 'academy.user' doesn't exist
2018/02/05 12:24:36 db_populator.go:109: rows is nil
2018/02/05 12:24:36 db_populator.go:99: Panic Caught in getUserAgent : rows is nil
 
2018/02/05 12:24:36 db_populator.go:47: Panic Caught in CreateNewUser : Panic Caught in getUserAgent : rows is nil
 
 
2018/02/05 12:25:18 db_populator.go:68: Error in CreateNewUser: 
2018/02/05 12:25:18 db_populator.go:69: Error 1062: Duplicate entry 'E80Z69IW-9H14-YOZT-9JEF-HKR2AXCYSNCZ' for key 'user_device_id_UNIQUE'
2018/02/05 12:25:18 db_populator.go:47: Panic Caught in CreateNewUser : runtime error: invalid memory address or nil pointer dereference 
2018/02/05 12:26:49 db_populator.go:68: Error in CreateNewUser: 
2018/02/05 12:26:49 db_populator.go:69: Error 1062: Duplicate entry 'E80Z69IW-9H14-YOZT-9JEF-HKR2AXCYSNCZ' for key 'user_device_id_UNIQUE'
2018/02/05 12:26:49 db_populator.go:47: Panic Caught in CreateNewUser : Error 1062: Duplicate entry 'E80Z69IW-9H14-YOZT-9JEF-HKR2AXCYSNCZ' for key 'user_device_id_UNIQUE'
 
2018/02/05 12:27:32 db_populator.go:68: Error in CreateNewUser: 
2018/02/05 12:27:32 db_populator.go:69: Error 1062: Duplicate entry 'e80z69iw-9h14-yozt-9jef-hkr2axcysncz' for key 'user_device_id_UNIQUE'
2018/02/05 12:27:32 db_populator.go:47: Panic Caught in CreateNewUser : Error 1062: Duplicate entry 'e80z69iw-9h14-yozt-9jef-hkr2axcysncz' for key 'user_device_id_UNIQUE'
 
2018/02/05 12:28:14 db_populator.go:82: User Created : 
2018/02/05 12:28:15 db_populator.go:82: User Created : 
2018/02/05 12:28:17 db_populator.go:82: User Created : 
2018/02/05 12:28:19 db_populator.go:82: User Created : 
2018/02/05 12:28:20 db_populator.go:82: User Created : 
2018/02/05 12:28:22 db_populator.go:82: User Created : 
2018/02/05 12:28:24 db_populator.go:82: User Created : 
2018/02/05 12:28:25 db_populator.go:82: User Created : 
2018/02/05 12:28:27 db_populator.go:82: User Created : 
2018/02/05 12:28:29 db_populator.go:82: User Created : 
2018/02/05 12:28:31 db_populator.go:82: User Created : 
